,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
621,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,46
630,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,1202
632,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,1204
635,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,0,2818
636,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,0,2817
637,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1519
640,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1212
641,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Overturning,2,1213
642,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,0,1036
644,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2455
645,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1621
646,18-30,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1961
650,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,185
651,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,186
652,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,0,2816
653,18-30,Male,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,0,2812
654,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,140
655,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,1364
656,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,1365
657,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2453
660,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3795
668,18-30,Unknown,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,767
670,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3779
671,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1955
672,31-50,Unknown,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1954
673,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1373
678,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2748
679,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,3323
680,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3320
681,Over 51,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,112
683,Under 18,Male,5-10yrs,Asphalt roads with some distress,Wet or damp,Darkness - no lighting,Raining,No priority to vehicle,2,3256
687,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,1,2225
689,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,71
691,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,424
692,18-30,Unknown,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,92
693,31-50,Unknown,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,754
695,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,3031
696,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,3032
697,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,629
702,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1932
703,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1935
704,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,213
705,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,984
707,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,1,3208
709,31-50,Male,1-2yr,Earth roads,Wet or damp,Darkness - lights lit,Raining,Driving at high speed,2,617
710,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Overtaking,2,2925
711,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2324
715,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1719
719,18-30,Male,1-2yr,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1950
721,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Raining and Windy,No priority to vehicle,2,3520
723,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,643
732,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,2,1575
741,Over 51,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,2,50
749,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,6
750,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Moving Backward,2,174
753,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,2,1701
756,Under 18,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Moving Backward,2,150
757,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Changing lane to the right,2,1426
758,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1762
763,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2648
764,Unknown,Female,Below 1yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2651
766,18-30,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Changing lane to the right,2,2249
767,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,1515
768,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,1,477
769,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,1,478
770,18-30,Unknown,Unknown,Asphalt roads,Wet or damp,Daylight,Cloudy,Moving Backward,2,1137
771,Under 18,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,9
772,18-30,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,2210
773,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,2730
774,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Getting off the vehicle improperly,2,2729
775,31-50,Unknown,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1858
776,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1857
777,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,1,2671
782,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1702
785,Over 51,Unknown,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,3213
786,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Getting off the vehicle improperly,2,3216
790,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,210
791,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Overturning,2,8
792,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,341
793,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,96
794,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,95
795,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,190
796,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,2,189
799,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,417
802,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2494
805,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,1,2790
806,Over 51,Unknown,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,664
811,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,1826
812,Over 51,Unknown,Unknown,Earth roads,Dry,Daylight,Normal,Moving Backward,2,568
813,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,570
821,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,163
829,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,18
830,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,17
833,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - no lighting,Cloudy,No priority to pedestrian,2,2957
836,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Drunk driving,2,196
837,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,453
838,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,450
843,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,1922
844,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,3866
846,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,2023
847,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,1,2015
848,18-30,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Moving Backward,2,491
849,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Overtaking,2,495
850,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the left,2,2341
851,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,2,2334
852,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,669
853,18-30,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,Overloading,1,670
854,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Other,2,3515
855,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,1,828
856,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Changing lane to the right,2,1399
857,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Moving Backward,2,1400
862,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,No distancing,2,3335
865,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,1,2114
866,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,1,2113
870,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Overloading,1,182
871,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,308
872,Over 51,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,Improper parking,2,60
873,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,2,307
874,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,306
875,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,116
876,31-50,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,117
879,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,428
880,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,767
881,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,766
887,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,391
891,18-30,Unknown,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,459
892,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2187
894,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving at high speed,2,2196
896,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,397
898,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Getting off the vehicle improperly,2,3336
899,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Other,2,6
900,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Other,2,7
901,18-30,Female,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,1,528
902,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,1,2522
903,31-50,Unknown,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,494
904,Under 18,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2344
905,Unknown,Female,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,414
907,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,322
909,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,3315
910,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,1,3314
911,Unknown,Female,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,1,329
912,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving at high speed,1,641
914,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,1118
918,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,751
919,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,753
920,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,124
921,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,125
923,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,1218
924,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1216
925,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1215
929,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overturning,0,655
936,18-30,Male,5-10yrs,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Normal,No distancing,1,2402
938,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Moving Backward,1,506
939,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,19
948,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1027
950,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2158
953,Over 51,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2500
954,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overturning,2,975
955,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,2,974
958,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1540
959,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,1541
960,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,2355
962,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,771
963,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,349
964,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,3630
968,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1959
969,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1962
970,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3820
971,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3831
972,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,418
973,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3842
974,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3846
975,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3844
978,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,1,2470
986,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,545
988,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,825
989,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,441
990,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,440
991,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,434
996,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2727
997,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,Other,1,2368
998,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2403
999,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,105
1001,Over 51,Male,5-10yrs,Asphalt roads with some distress,Dry,Daylight,Normal,Other,2,3861
1005,31-50,Unknown,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,533
1007,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,121
1009,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1061
1010,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,222
1011,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,703
1013,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2719
1014,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,2718
1015,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving at high speed,2,574
1017,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1
1018,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,262
1021,18-30,Unknown,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,1,1619
1024,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3387
1025,18-30,Male,1-2yr,Earth roads,Dry,Daylight,Normal,Moving Backward,2,21
1026,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,22
1027,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,58
1029,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,39
1030,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,37
1031,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Other,1,62
1035,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Unknown,No priority to pedestrian,2,40
1036,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Unknown,No distancing,2,41
1038,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,49
1042,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Overtaking,2,164
1043,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Overloading,2,9
1044,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Other,2,10
1048,Under 18,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,8
1049,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,74
1051,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,64
1052,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,8
1054,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,36
1058,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Getting off the vehicle improperly,2,1357
